2019/09/10 16:34:22 [error] 6#6: *2 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost"
2019/09/10 16:37:31 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: es.xyz, request: "GET /test HTTP/1.1", upstream: "http://172.20.0.5:9501/test", host: "es.xyz"
2019/09/10 16:37:31 [error] 6#6: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.20.0.1, server: es.xyz, request: "GET /test HTTP/1.1", upstream: "http://172.20.0.5:9501/test", host: "es.xyz"
2019/09/10 16:37:34 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: es.xyz, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.20.0.5:9501/favicon.ico", host: "es.xyz", referrer: "http://es.xyz/tests"
2019/09/10 16:37:34 [error] 6#6: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.20.0.1, server: es.xyz, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.20.0.5:9501/favicon.ico", host: "es.xyz", referrer: "http://es.xyz/tests"
2019/09/10 16:37:35 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: es.xyz, request: "GET /tests HTTP/1.1", upstream: "http://172.20.0.5:9501/tests", host: "es.xyz"
2019/09/10 16:37:35 [error] 6#6: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.20.0.1, server: es.xyz, request: "GET /tests HTTP/1.1", upstream: "http://172.20.0.5:9501/tests", host: "es.xyz"
2019/09/10 16:38:03 [error] 6#6: *6 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost"
2019/09/10 16:38:03 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: es.xyz, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.20.0.5:9501/favicon.ico", host: "es.xyz"
2019/09/10 16:38:03 [error] 6#6: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.20.0.1, server: es.xyz, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.20.0.5:9501/favicon.ico", host: "es.xyz"
2019/09/10 16:38:04 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: es.xyz, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.20.0.5:9501/favicon.ico", host: "es.xyz"
2019/09/10 16:38:04 [error] 6#6: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.20.0.1, server: es.xyz, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.20.0.5:9501/favicon.ico", host: "es.xyz"
2019/09/10 16:38:04 [error] 6#6: *6 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost"
2019/09/10 16:38:04 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: es.xyz, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.20.0.5:9501/favicon.ico", host: "es.xyz"
2019/09/10 16:38:04 [error] 6#6: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.20.0.1, server: es.xyz, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.20.0.5:9501/favicon.ico", host: "es.xyz"
2019/09/10 16:38:04 [error] 6#6: *6 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost"
2019/09/10 16:38:04 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: es.xyz, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.20.0.5:9501/favicon.ico", host: "es.xyz"
2019/09/10 16:38:04 [error] 6#6: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.20.0.1, server: es.xyz, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.20.0.5:9501/favicon.ico", host: "es.xyz"
2019/09/10 16:38:04 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: es.xyz, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.20.0.5:9501/favicon.ico", host: "es.xyz"
2019/09/10 16:38:04 [error] 6#6: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.20.0.1, server: es.xyz, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.20.0.5:9501/favicon.ico", host: "es.xyz"
2019/09/10 16:38:04 [error] 6#6: *6 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost"
2019/09/10 16:38:08 [error] 6#6: *13 "/usr/share/nginx/html/index.php/index.html" is not found (20: Not a directory), client: 172.20.0.1, server: test.xyz, request: "GET /index.php/ HTTP/1.1", host: "test.xyz"
2019/09/10 16:38:09 [error] 6#6: *13 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: test.xyz, request: "GET /favicon.ico HTTP/1.1", host: "test.xyz", referrer: "http://test.xyz/index.php/"
